Bottom Color,Bottom RGB,Top Color,Top RGB,Accessories,Popularity Score,Occasion
Blue,"(0, 0, 255)",Yellow,"(255, 255, 0)","Bangles, Earrings, Bracelet",54,Office
Grey,"(128, 128, 128)",Green,"(0, 128, 0)",Bracelet,98,Party
Brown,"(139, 69, 19)",Blue,"(0, 0, 255)","Bangles, Earrings, Necklace",81,Office
Blue,"(0, 0, 255)",Pink,"(255, 192, 203)","Bracelet, Necklace",91,Party
Navy,"(0, 0, 128)",White,"(255, 255, 255)",Slippers,100,Office
Navy,"(0, 0, 128)",Yellow,"(255, 255, 0)",Bangles,77,Party
Grey,"(128, 128, 128)",White,"(255, 255, 255)",Necklace,68,Party
White,"(255, 255, 255)",White,"(255, 255, 255)","Bracelet, Bangles",59,Casual
Pink,"(255, 192, 203)",Orange,"(255, 165, 0)",Bracelet,93,Party
Brown,"(139, 69, 19)",Purple,"(128, 0, 128)","Slippers, Earrings, Necklace",69,Party
Pink,"(255, 192, 203)",Yellow,"(255, 255, 0)","Earrings, Slippers",57,Party
Pink,"(255, 192, 203)",Orange,"(255, 165, 0)",Slippers,94,Party
Pink,"(255, 192, 203)",Beige,"(245, 245, 220)",Slippers,77,Casual
Pink,"(255, 192, 203)",Red,"(255, 0, 0)",Slippers,67,Casual
Grey,"(128, 128, 128)",White,"(255, 255, 255)","Earrings, Bangles, Bracelet",74,Office
Pink,"(255, 192, 203)",Purple,"(128, 0, 128)",Earrings,99,Casual
Beige,"(245, 245, 220)",Beige,"(245, 245, 220)","Slippers, Necklace, Bangles",94,Office
Pink,"(255, 192, 203)",Red,"(255, 0, 0)",Bangles,59,Party
Brown,"(139, 69, 19)",Green,"(0, 128, 0)",Bangles,96,Party
Brown,"(139, 69, 19)",Pink,"(255, 192, 203)","Necklace, Slippers, Bracelet",86,Casual
Grey,"(128, 128, 128)",Pink,"(255, 192, 203)","Slippers, Bangles",82,Casual
Beige,"(245, 245, 220)",Green,"(0, 128, 0)","Bracelet, Earrings, Slippers",85,Casual
White,"(255, 255, 255)",Green,"(0, 128, 0)",Slippers,86,Party
Pink,"(255, 192, 203)",Pink,"(255, 192, 203)","Slippers, Earrings",92,Office
Pink,"(255, 192, 203)",Beige,"(245, 245, 220)",Earrings,85,Casual
Blue,"(0, 0, 255)",Purple,"(128, 0, 128)","Earrings, Bangles, Bracelet",65,Casual
Black,"(0, 0, 0)",Pink,"(255, 192, 203)",Bangles,95,Casual
Brown,"(139, 69, 19)",Red,"(255, 0, 0)","Necklace, Slippers, Earrings",81,Office
Grey,"(128, 128, 128)",Orange,"(255, 165, 0)","Bangles, Necklace",51,Office
Blue,"(0, 0, 255)",White,"(255, 255, 255)","Earrings, Bracelet, Slippers",68,Office
Beige,"(245, 245, 220)",Green,"(0, 128, 0)","Bangles, Slippers, Earrings",62,Office
Brown,"(139, 69, 19)",Red,"(255, 0, 0)","Bracelet, Earrings, Slippers",66,Casual
Beige,"(245, 245, 220)",Beige,"(245, 245, 220)","Earrings, Necklace, Bangles",95,Casual
Grey,"(128, 128, 128)",White,"(255, 255, 255)","Slippers, Bracelet, Earrings",99,Office
Pink,"(255, 192, 203)",Pink,"(255, 192, 203)","Necklace, Slippers",85,Casual
White,"(255, 255, 255)",Red,"(255, 0, 0)",Necklace,62,Office
White,"(255, 255, 255)",Pink,"(255, 192, 203)","Slippers, Earrings",65,Casual
Grey,"(128, 128, 128)",Blue,"(0, 0, 255)","Bangles, Earrings",51,Office
Beige,"(245, 245, 220)",White,"(255, 255, 255)","Bracelet, Necklace",91,Office
Black,"(0, 0, 0)",Yellow,"(255, 255, 0)","Earrings, Necklace",53,Office
Grey,"(128, 128, 128)",Green,"(0, 128, 0)","Bracelet, Slippers",64,Office
Black,"(0, 0, 0)",Grey,"(128, 128, 128)",Slippers,78,Party
Beige,"(245, 245, 220)",Green,"(0, 128, 0)",Necklace,61,Party
Pink,"(255, 192, 203)",Red,"(255, 0, 0)","Slippers, Earrings, Bangles",70,Casual
Brown,"(139, 69, 19)",White,"(255, 255, 255)","Slippers, Bracelet, Earrings",75,Party
Blue,"(0, 0, 255)",White,"(255, 255, 255)","Earrings, Slippers, Necklace",89,Party
Blue,"(0, 0, 255)",Orange,"(255, 165, 0)","Slippers, Bracelet",88,Party
Grey,"(128, 128, 128)",White,"(255, 255, 255)",Bracelet,83,Casual
White,"(255, 255, 255)",Blue,"(0, 0, 255)",Earrings,85,Office
Brown,"(139, 69, 19)",Beige,"(245, 245, 220)","Bracelet, Slippers, Necklace",65,Party
Blue,"(0, 0, 255)",Purple,"(128, 0, 128)",Earrings,53,Party
Navy,"(0, 0, 128)",Purple,"(128, 0, 128)",Bracelet,92,Party
Pink,"(255, 192, 203)",Grey,"(128, 128, 128)","Earrings, Slippers, Bracelet",52,Office
Grey,"(128, 128, 128)",Orange,"(255, 165, 0)","Earrings, Slippers, Bangles",72,Party
Pink,"(255, 192, 203)",White,"(255, 255, 255)",Bangles,53,Casual
