Top Color,Top RGB,Bottom Color,Bottom RGB,Accessories,Popularity Score,Occasion
Navy,"(0, 0, 128)",Brown,"(139, 69, 19)","Shoes, Chain",95,Party
Red,"(255, 0, 0)",Brown,"(139, 69, 19)",Shoes,55,Office
Maroon,"(128, 0, 0)",Grey,"(128, 128, 128)","Chain, Watch, Shoes",70,Casual
Red,"(255, 0, 0)",Beige,"(245, 245, 220)","Bracelet, Watch, Belt",85,Party
Purple,"(128, 0, 128)",Navy,"(0, 0, 128)","Belt, Chain, Shoes",81,Party
Blue,"(0, 0, 255)",Blue,"(0, 0, 255)","Watch, Shoes",69,Casual
Grey,"(128, 128, 128)",Brown,"(139, 69, 19)","Bracelet, Belt",69,Office
Purple,"(128, 0, 128)",White,"(255, 255, 255)",Shoes,83,Casual
Purple,"(128, 0, 128)",Brown,"(139, 69, 19)",Bracelet,73,Party
Green,"(0, 128, 0)",Khaki,"(195, 176, 145)","Watch, Bracelet, Belt",57,Party
Green,"(0, 128, 0)",Black,"(0, 0, 0)","Shoes, Belt",56,Casual
White,"(255, 255, 255)",Blue,"(0, 0, 255)",Belt,94,Casual
Pink,"(255, 192, 203)",White,"(255, 255, 255)","Bracelet, Chain",79,Office
Black,"(0, 0, 0)",Beige,"(245, 245, 220)","Watch, Shoes",76,Party
Pink,"(255, 192, 203)",Brown,"(139, 69, 19)","Bracelet, Belt, Watch",77,Casual
Green,"(0, 128, 0)",Khaki,"(195, 176, 145)","Bracelet, Chain",98,Office
Blue,"(0, 0, 255)",Grey,"(128, 128, 128)","Watch, Belt",63,Office
Blue,"(0, 0, 255)",Khaki,"(195, 176, 145)","Shoes, Watch, Bracelet",83,Casual
Black,"(0, 0, 0)",Brown,"(139, 69, 19)","Bracelet, Shoes",81,Office
Green,"(0, 128, 0)",Brown,"(139, 69, 19)","Chain, Bracelet",67,Party
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)",Chain,66,Casual
White,"(255, 255, 255)",Navy,"(0, 0, 128)","Watch, Bracelet",77,Party
Red,"(255, 0, 0)",Beige,"(245, 245, 220)","Shoes, Watch, Belt",93,Casual
Maroon,"(128, 0, 0)",Brown,"(139, 69, 19)",Watch,65,Party
Purple,"(128, 0, 128)",Blue,"(0, 0, 255)","Chain, Bracelet",64,Casual
Blue,"(0, 0, 255)",Navy,"(0, 0, 128)","Chain, Watch",61,Casual
Purple,"(128, 0, 128)",Beige,"(245, 245, 220)",Watch,62,Party
Grey,"(128, 128, 128)",Navy,"(0, 0, 128)","Belt, Watch, Chain",50,Casual
Green,"(0, 128, 0)",White,"(255, 255, 255)",Shoes,82,Office
Grey,"(128, 128, 128)",Khaki,"(195, 176, 145)","Shoes, Chain, Bracelet",74,Party
Pink,"(255, 192, 203)",Black,"(0, 0, 0)","Chain, Watch, Belt",52,Office
Maroon,"(128, 0, 0)",Navy,"(0, 0, 128)","Shoes, Belt, Bracelet",97,Party
Navy,"(0, 0, 128)",Black,"(0, 0, 0)","Watch, Belt",81,Casual
Maroon,"(128, 0, 0)",Grey,"(128, 128, 128)","Bracelet, Watch",78,Office
Maroon,"(128, 0, 0)",Khaki,"(195, 176, 145)",Watch,93,Party
Red,"(255, 0, 0)",Brown,"(139, 69, 19)","Bracelet, Belt",96,Party
Maroon,"(128, 0, 0)",White,"(255, 255, 255)",Bracelet,57,Office
Pink,"(255, 192, 203)",White,"(255, 255, 255)","Chain, Watch",69,Office
Green,"(0, 128, 0)",White,"(255, 255, 255)","Watch, Chain, Shoes",86,Office
Grey,"(128, 128, 128)",White,"(255, 255, 255)","Shoes, Bracelet, Belt",99,Office
White,"(255, 255, 255)",Black,"(0, 0, 0)",Belt,52,Office
Green,"(0, 128, 0)",Blue,"(0, 0, 255)",Shoes,61,Casual
Maroon,"(128, 0, 0)",Khaki,"(195, 176, 145)","Bracelet, Watch, Shoes",95,Casual
Black,"(0, 0, 0)",Navy,"(0, 0, 128)","Belt, Bracelet, Watch",77,Party
Black,"(0, 0, 0)",Navy,"(0, 0, 128)",Shoes,57,Party
Pink,"(255, 192, 203)",Khaki,"(195, 176, 145)","Watch, Shoes",92,Office
White,"(255, 255, 255)",Grey,"(128, 128, 128)",Shoes,91,Office
Grey,"(128, 128, 128)",Khaki,"(195, 176, 145)",Belt,94,Casual
Green,"(0, 128, 0)",Black,"(0, 0, 0)","Chain, Belt",58,Office
Black,"(0, 0, 0)",Beige,"(245, 245, 220)",Watch,93,Party
Blue,"(0, 0, 255)",Grey,"(128, 128, 128)",Watch,50,Casual
Pink,"(255, 192, 203)",Grey,"(128, 128, 128)","Belt, Bracelet, Watch",95,Casual
Green,"(0, 128, 0)",Khaki,"(195, 176, 145)",Chain,51,Office
Purple,"(128, 0, 128)",Beige,"(245, 245, 220)","Watch, Shoes, Bracelet",64,Office
Pink,"(255, 192, 203)",Navy,"(0, 0, 128)","Shoes, Belt",67,Office
Maroon,"(128, 0, 0)",Black,"(0, 0, 0)",Chain,61,Office
Navy,"(0, 0, 128)",Blue,"(0, 0, 255)","Belt, Bracelet, Shoes",64,Casual
Grey,"(128, 128, 128)",Brown,"(139, 69, 19)",Belt,73,Office
Maroon,"(128, 0, 0)",Navy,"(0, 0, 128)","Chain, Belt",81,Casual
Grey,"(128, 128, 128)",Navy,"(0, 0, 128)","Bracelet, Watch, Shoes",81,Party
Pink,"(255, 192, 203)",Brown,"(139, 69, 19)",Shoes,56,Party
White,"(255, 255, 255)",Brown,"(139, 69, 19)","Belt, Watch, Bracelet",72,Office
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)","Bracelet, Chain, Watch",65,Casual
Black,"(0, 0, 0)",White,"(255, 255, 255)",Bracelet,88,Office
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)",Chain,57,Party
Red,"(255, 0, 0)",Navy,"(0, 0, 128)","Chain, Bracelet, Shoes",91,Office
Blue,"(0, 0, 255)",White,"(255, 255, 255)","Belt, Shoes, Chain",68,Casual
White,"(255, 255, 255)",White,"(255, 255, 255)","Belt, Bracelet",92,Office
Navy,"(0, 0, 128)",Khaki,"(195, 176, 145)","Watch, Shoes, Chain",59,Casual
Purple,"(128, 0, 128)",Beige,"(245, 245, 220)","Shoes, Bracelet",56,Party
Grey,"(128, 128, 128)",Black,"(0, 0, 0)","Shoes, Watch, Bracelet",80,Casual
Green,"(0, 128, 0)",Black,"(0, 0, 0)",Belt,78,Office
Green,"(0, 128, 0)",Grey,"(128, 128, 128)",Bracelet,64,Office
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)","Bracelet, Shoes",59,Casual
